Department;Region;District;Kostenstelle;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Bremen;Stade;60404;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Bremen;Verden;60407;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Braunschweig / Lüneburg;Buchholz;60305;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Braunschweig / Lüneburg;Celle (beeinhaltet ÖZ2-GS Soltau);60319;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Braunschweig / Lüneburg;Lüneburg;60309;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Braunschweig / Lüneburg;Uelzen;60320;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Braunschweig / Lüneburg;Braunschweig;60318;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Braunschweig / Lüneburg;Gifhorn;60315;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Braunschweig / Lüneburg;Helmstedt;60314;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Braunschweig / Lüneburg;Wolfenbüttel;60316;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Braunschweig / Lüneburg;Wolfsburg;60313;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Osnabrück;Cloppenburg;60503;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Osnabrück;Lingen;60509;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Osnabrück;Melle;60507;;
